neighbourhood_group,neighbourhood,room_type,average_price,listings_count,average_minimum_nights,total_number_of_reviews,average_reviews_per_month
Bronx,Allerton,Entire home/apt,124.6,15,2.2666666666666666,864,2.3453333333333335
Bronx,Allerton,Private room,67.4090909090909,22,2.272727272727273,939,1.4854545454545454
Bronx,Baychester,Entire home/apt,90.33333333333333,3,3.0,286,3.686666666666667
Bronx,Baychester,Private room,65.66666666666667,3,2.3333333333333335,24,0.7266666666666666
Bronx,Belmont,Entire home/apt,228.66666666666666,3,1.6666666666666667,96,2.7133333333333334
Bronx,Belmont,Private room,53.375,16,2.25,198,1.7925
Bronx,Belmont,Shared room,49.0,1,1.0,2,0.94
Bronx,Bronxdale,Entire home/apt,73.0,5,3.0,71,2.136
Bronx,Bronxdale,Private room,40.8,10,2.4,383,1.599
Bronx,Bronxdale,Shared room,57.0,1,1.0,4,4.0
Bronx,Castle Hill,Entire home/apt,74.0,2,2.5,118,2.775
Bronx,City Island,Entire home/apt,109.77777777777777,9,2.111111111111111,625,2.4766666666666666
Bronx,City Island,Private room,71.0,6,1.5,134,1.4083333333333332
Bronx,Claremont Village,Entire home/apt,95.66666666666667,6,21.666666666666668,116,1.4183333333333332
Bronx,Claremont Village,Private room,52.9,10,3.6,234,2.226
Bronx,Clason Point,Entire home/apt,142.14285714285714,7,1.8571428571428572,220,2.531428571428571
Bronx,Clason Point,Private room,82.66666666666667,9,2.3333333333333335,63,1.018888888888889
Bronx,Clason Point,Shared room,42.5,2,1.0,33,0.98
Bronx,Co-op City,Private room,77.5,2,2.5,34,0.245
Bronx,Concourse,Entire home/apt,112.125,16,4.0,841,2.450625
Bronx,Concourse,Private room,56.08,25,1.92,802,1.3756
Bronx,Concourse Village,Entire home/apt,107.42857142857143,7,7.571428571428571,234,1.522857142857143
Bronx,Concourse Village,Private room,59.0,16,2.3125,571,1.428125
Bronx,Concourse Village,Shared room,60.0,1,1.0,2,0.09
Bronx,East Morrisania,Entire home/apt,126.66666666666667,3,1.0,190,3.186666666666666
Bronx,East Morrisania,Private room,78.33333333333333,6,1.5,235,2.3433333333333333
Bronx,Eastchester,Entire home/apt,184.8,5,1.6,72,0.446
Bronx,Eastchester,Private room,70.0,4,2.0,84,0.49
Bronx,Eastchester,Shared room,45.0,1,1.0,1,0.37
Bronx,Edenwald,Entire home/apt,82.2,5,2.4,154,2.758
Bronx,Edenwald,Private room,87.5,4,2.0,46,0.7775000000000001
Bronx,Fieldston,Entire home/apt,99.75,4,5.75,37,0.53
Bronx,Fieldston,Private room,64.57142857142857,7,1.8571428571428572,101,1.11
Bronx,Fieldston,Shared room,50.0,1,1.0,8,1.26
Bronx,Fordham,Entire home/apt,101.44444444444444,9,5.111111111111111,121,2.6055555555555556
Bronx,Fordham,Private room,53.48571428571429,35,3.3142857142857145,821,1.3571428571428572
Bronx,Fordham,Shared room,44.0,3,3.0,14,0.43333333333333335
Bronx,Highbridge,Entire home/apt,113.6,5,3.2,158,2.09
Bronx,Highbridge,Private room,60.666666666666664,18,2.1666666666666665,1160,2.121111111111111
Bronx,Hunts Point,Entire home/apt,150.0,1,2.0,5,0.57
Bronx,Hunts Point,Private room,45.266666666666666,15,14.866666666666667,171,1.308
Bronx,Kingsbridge,Entire home/apt,131.875,16,5.5,462,1.526875
Bronx,Kingsbridge,Private room,56.74285714285714,35,4.628571428571429,953,1.7694285714285714
Bronx,Kingsbridge,Shared room,42.333333333333336,3,1.6666666666666667,20,0.54
Bronx,Longwood,Entire home/apt,97.13333333333334,15,2.533333333333333,717,2.5846666666666662
Bronx,Longwood,Private room,63.875,32,2.0625,936,1.548125
Bronx,Melrose,Entire home/apt,97.0,4,3.5,83,1.9125
Bronx,Melrose,Private room,63.666666666666664,3,1.6666666666666667,7,1.0366666666666668
Bronx,Morris Heights,Entire home/apt,113.66666666666667,3,1.3333333333333333,22,2.0366666666666666
Bronx,Morris Heights,Private room,49.0,8,2.125,434,1.97
Bronx,Morris Heights,Shared room,20.0,1,1.0,9,0.53
Bronx,Morris Park,Entire home/apt,125.0,3,1.3333333333333333,115,3.26
Bronx,Morris Park,Private room,57.888888888888886,9,3.2222222222222223,154,0.9566666666666666
Bronx,Morris Park,Shared room,40.0,1,1.0,2,0.23
Bronx,Morrisania,Entire home/apt,145.0,2,1.5,29,1.71
Bronx,Morrisania,Private room,47.6,5,2.6,157,2.072
Bronx,Mott Haven,Entire home/apt,111.43478260869566,23,2.391304347826087,970,2.4869565217391307
Bronx,Mott Haven,Private room,57.166666666666664,30,1.9333333333333333,1572,2.379
Bronx,Mount Eden,Entire home/apt,150.0,1,1.0,4,0.28
Bronx,Mount Eden,Private room,38.25,4,2.0,416,2.16
Bronx,Mount Hope,Entire home/apt,107.9,10,8.2,293,1.307
Bronx,Mount Hope,Private room,45.75,8,3.375,142,1.17125
Bronx,North Riverdale,Entire home/apt,105.0,1,2.0,27,2.13
Bronx,North Riverdale,Private room,50.0,5,1.4,155,1.084
Bronx,Norwood,Entire home/apt,116.6,5,4.0,43,1.6600000000000001
Bronx,Norwood,Private room,56.611111111111114,18,4.166666666666667,468,1.0294444444444446
Bronx,Norwood,Shared room,33.0,1,2.0,8,0.71
Bronx,Olinville,Private room,80.0,1,2.0,20,2.2
Bronx,Olinville,Shared room,26.0,1,1.0,10,0.67
Bronx,Parkchester,Entire home/apt,109.28571428571429,7,2.857142857142857,174,1.4428571428571428
Bronx,Parkchester,Private room,58.5,22,1.8181818181818181,706,1.7236363636363636
Bronx,Parkchester,Shared room,47.333333333333336,3,2.0,31,0.47666666666666674
Bronx,Pelham Bay,Entire home/apt,121.45454545454545,11,2.8181818181818183,301,1.910909090909091
Bronx,Pelham Bay,Private room,69.5,2,2.5,141,2.5549999999999997
Bronx,Pelham Gardens,Entire home/apt,112.29411764705883,17,2.235294117647059,733,2.7970588235294116
Bronx,Pelham Gardens,Private room,39.625,8,3.75,407,1.7750000000000001
Bronx,Port Morris,Entire home/apt,123.0,11,5.454545454545454,354,1.9627272727272727
Bronx,Port Morris,Private room,64.0,12,4.0,443,1.1425
Bronx,Port Morris,Shared room,37.13333333333333,15,1.0666666666666667,151,2.277333333333333
Bronx,Riverdale,Entire home/apt,168.5,4,3.75,88,1.2
Bronx,Riverdale,Private room,57.0,2,3.5,204,2.1999999999999997
Bronx,Riverdale,Shared room,800.0,1,2.0,1,0.04
Bronx,Schuylerville,Entire home/apt,85.33333333333333,3,2.3333333333333335,141,2.75
Bronx,Schuylerville,Private room,69.33333333333333,9,2.2222222222222223,166,3.19
Bronx,Schuylerville,Shared room,20.0,1,1.0,116,4.09
Bronx,Soundview,Entire home/apt,75.0,4,1.5,180,3.755
Bronx,Soundview,Private room,43.0,9,2.0,261,1.6144444444444443
Bronx,Spuyten Duyvil,Entire home/apt,186.33333333333334,3,11.666666666666666,62,0.6366666666666666
Bronx,Spuyten Duyvil,Private room,60.0,1,3.0,8,1.11
Bronx,Throgs Neck,Entire home/apt,131.33333333333334,9,2.0,595,3.123333333333333
Bronx,Throgs Neck,Private room,66.91666666666667,12,1.75,174,1.92
Bronx,Tremont,Entire home/apt,95.0,2,1.5,60,2.1350000000000002
Bronx,Tremont,Private room,39.0,6,3.1666666666666665,155,0.8383333333333334
Bronx,Tremont,Shared room,37.5,2,1.5,12,1.57
Bronx,Unionport,Entire home/apt,183.75,4,2.0,103,3.6325000000000003
Bronx,Unionport,Private room,75.0,1,1.0,1,0.68
Bronx,University Heights,Entire home/apt,141.66666666666666,3,2.6666666666666665,75,1.3166666666666667
Bronx,University Heights,Private room,51.857142857142854,14,2.357142857142857,704,1.3821428571428573
Bronx,Van Nest,Entire home/apt,119.0,3,1.3333333333333333,174,3.653333333333333
Bronx,Van Nest,Private room,36.666666666666664,3,11.333333333333334,26,1.8399999999999999
Bronx,Van Nest,Shared room,20.0,3,11.333333333333334,6,0.49333333333333335
Bronx,Wakefield,Entire home/apt,120.57142857142857,14,7.357142857142857,437,1.787857142857143
Bronx,Wakefield,Private room,52.44444444444444,27,1.8518518518518519,842,2.5433333333333334
Bronx,West Farms,Entire home/apt,165.0,1,2.0,4,0.63
Bronx,West Farms,Private room,79.0,1,1.0,3,0.16
Bronx,Westchester Square,Entire home/apt,221.75,4,1.5,109,2.2
Bronx,Westchester Square,Private room,52.0,5,2.4,46,1.146
Bronx,Williamsbridge,Entire home/apt,156.05882352941177,17,2.1176470588235294,805,3.101176470588235
Bronx,Williamsbridge,Private room,52.76470588235294,17,6.0588235294117645,333,1.1552941176470588
Bronx,Woodlawn,Entire home/apt,65.5,4,1.5,259,2.5075
Bronx,Woodlawn,Private room,54.833333333333336,6,1.3333333333333333,223,2.6633333333333336
Bronx,Woodlawn,Shared room,70.0,1,2.0,2,0.11
Brooklyn,Bath Beach,Entire home/apt,118.14285714285714,7,2.0,206,1.7985714285714285
Brooklyn,Bath Beach,Private room,55.625,8,3.125,157,1.4475
Brooklyn,Bay Ridge,Entire home/apt,137.4,55,5.290909090909091,1735,1.8449090909090908
Brooklyn,Bay Ridge,Private room,77.12727272727273,55,7.036363636363636,877,1.3841818181818182
Brooklyn,Bay Ridge,Shared room,63.8,5,7.8,6,0.586
Brooklyn,Bedford-Stuyvesant,Entire home/apt,152.19749652294854,1438,4.666898470097357,64795,1.7023922114047287
Brooklyn,Bedford-Stuyvesant,Private room,68.27457002457002,1628,4.8384520884520885,43681,1.425
Brooklyn,Bedford-Stuyvesant,Shared room,39.521126760563384,71,4.591549295774648,1592,1.317323943661972
Brooklyn,Bensonhurst,Entire home/apt,103.32,25,5.6,1222,2.0316
Brooklyn,Bensonhurst,Private room,58.51428571428571,35,3.057142857142857,608,1.2962857142857143
Brooklyn,Bensonhurst,Shared room,79.0,1,1.0,15,0.43
Brooklyn,Bergen Beach,Entire home/apt,108.71428571428571,7,3.2857142857142856,175,1.9700000000000002
Brooklyn,Bergen Beach,Private room,85.0,1,3.0,30,1.15
Brooklyn,Boerum Hill,Entire home/apt,189.24786324786325,117,7.6239316239316235,2667,0.8288888888888889
Brooklyn,Boerum Hill,Private room,83.96666666666667,30,2.8,1628,1.699
Brooklyn,Borough Park,Entire home/apt,111.58333333333333,24,4.791666666666667,511,1.2966666666666666
Brooklyn,Borough Park,Private room,53.21052631578947,76,2.026315789473684,1605,1.3703947368421054
Brooklyn,Borough Park,Shared room,36.2,10,5.8,116,0.826
Brooklyn,Brighton Beach,Entire home/apt,118.3076923076923,26,4.961538461538462,724,1.698846153846154
Brooklyn,Brighton Beach,Private room,63.2962962962963,27,2.5185185185185186,573,1.9744444444444444
Brooklyn,Brighton Beach,Shared room,60.833333333333336,6,1.3333333333333333,50,0.5716666666666667
Brooklyn,Brooklyn Heights,Entire home/apt,221.95098039215685,102,5.029411764705882,1822,0.6950980392156864
Brooklyn,Brooklyn Heights,Private room,109.27272727272727,22,3.1818181818181817,733,1.7995454545454548
Brooklyn,Brownsville,Entire home/apt,120.3125,16,3.3125,620,2.0475
Brooklyn,Brownsville,Private room,57.7,40,2.5,1292,1.4695
Brooklyn,Bushwick,Entire home/apt,141.50963222416812,571,4.732049036777584,20563,1.6066374781085815
Brooklyn,Bushwick,Private room,62.47230538922156,1336,4.099550898203593,31056,1.248630239520958
Brooklyn,Bushwick,Shared room,35.38235294117647,34,10.235294117647058,872,1.3491176470588235
